ObjectType,ObjectName,Description,Utilization,ParametersJson,OutputNotes,ReferencedObjectsJson,IRI,CodeColumn,Code,AccessBitmap
"    { ""name"": ""@EventB"",   ""type"": ""NVARCHAR(20)"",   ""default"": null, ""description"": ""Optional filter for the subsequent event; null returns all."" }",,,,,,,,,,
  ],[,,,,,,,,,
"    { ""name"": ""CaseID"",         ""type"": ""INT"",         ""description"": ""Case identifier."" },",,,,,,,,,,
"    { ""name"": ""EventA"",         ""type"": ""NVARCHAR(20)"", ""description"": ""Name of the first event in the pair."" },",,,,,,,,,,
"    { ""name"": ""EventB"",         ""type"": ""NVARCHAR(20)"", ""description"": ""Name of the subsequent event in the pair."" },",,,,,,,,,,
"    { ""name"": ""EventDate_A"",    ""type"": ""DATETIME"",     ""description"": ""Timestamp of EventA."" },",,,,,,,,,,
"    { ""name"": ""EventDate_B"",    ""type"": ""DATETIME"",     ""description"": ""Timestamp of EventB."" },",,,,,,,,,,
"    { ""name"": ""Minutes"",        ""type"": ""FLOAT"",        ""description"": ""Elapsed time in minutes between EventA and EventB."" },",,,,,,,,,,
"    { ""name"": ""Rank"",           ""type"": ""INT"",          ""description"": ""Sequential rank of EventB within its case."" },",,,,,,,,,,
"    { ""name"": ""EventOccurence"", ""type"": ""INT"",          ""description"": ""Count of occurrences of EventB up to that rank."" },",,,,,,,,,,
"    { ""name"": ""EventA_ID"",      ""type"": ""INT"",          ""description"": ""Internal EventID of EventA."" },",,,,,,,,,,
"    { ""name"": ""EventB_ID"",      ""type"": ""INT"",          ""description"": ""Internal EventID of EventB."" }",,,,,,,,,,
  ],[,,,,,,,,,
"    { ""name"": ""dbo.Models"",            ""type"": ""Table"",                  ""description"": ""Stores Markov model definitions and parameters."" },",,,,,,,,,,
"    { ""name"": ""dbo.Metrics"",           ""type"": ""Table"",                  ""description"": ""Lookup of metric names and methods."" },",,,,,,,,,,
"    { ""name"": ""dbo.Transforms"",        ""type"": ""Table"",                  ""description"": ""Optional event mapping transformations."" },",,,,,,,,,,
"    { ""name"": ""dbo.EventSets"",         ""type"": ""Table"",                  ""description"": ""Defines event-set groupings for models."" },",,,,,,,,,,
"    { ""name"": ""dbo.SelectedEvents"",    ""type"": ""Table-Valued Function"",  ""description"": ""Filters and enriches EventsFact per model parameters."" },",,,,,,,,,,
